"2021-10-11 21:09:02",
"2021-10-11 21:10:01",
"2021-10-11 21:11:01",
"2021-10-11 21:12:01",
"2021-10-11 21:13:01",
"2021-10-11 21:14:01",
"2021-10-11 21:15:01",
"2021-10-11 21:16:01",
"2021-10-11 21:17:01",
"2021-10-11 21:18:01",
"2021-10-11 21:19:01",
"2021-10-11 21:20:01",
"2021-10-11 21:21:01",
"2021-10-11 21:22:01",
"2021-10-11 22:25:01","hastebin - Kassel","43893","30.058","48.805","0","136726","2923446","1885144","28022864","https://www.speedtest.net/result/c/2fe398b6-92a5-413d-8073-e82e1304eecb"
"2021-10-11 22:27:01","Heuer & Sack GbR - Wernigerode","21981","94.227","68.731","0","512489","3049661","6833614","42577776","https://www.speedtest.net/result/c/6f1066de-ef61-4961-83f2-6f094c63fbfc"
"2021-10-11 22:28:01","TMP-SYSTEM-SERVICE GmbH - Bebra","41142","89.271","35.837","0","563147","2768927","7430148","38576728","https://www.speedtest.net/result/c/c8e3a132-b332-444d-ad21-96a6d4b222b1"
"2021-10-11 22:30:01","hastebin - Kassel","43893","28.644","81.679","0","439198","2924067","4591112","39763326","https://www.speedtest.net/result/c/0d3dd4db-8ca8-4533-94ed-2e9b68ff7794"
"2021-10-11 22:32:01","Spacken.net - Hagen","15431","158.279","25.315","N/A","639621","3375304","8554634","46090986","https://www.speedtest.net/result/c/8dea00dd-f061-40b4-aaa0-46d270e29516"
"2021-10-11 22:34:01","KNT Internet - Riethnordhausen","21504","68.618","12.672","0","290022","2821083","3232412","36943700","https://www.speedtest.net/result/c/f1d6cb1c-0d93-49dc-948b-b11899217888"
"2021-10-11 22:35:01","Heuer & Sack GbR - Wernigerode","21981","61.725","44.568","0","392447","3293551","4354420","39615810","https://www.speedtest.net/result/c/facd52a0-c863-41dc-940e-7ec7c89a9a46"
"2021-10-11 22:36:01","goetel GmbH - Göttingen","23610","141.093","17.547","0","259223","3466050","3883294","46310966","https://www.speedtest.net/result/c/67143285-855c-4047-ba75-7c84358ab9aa"
"2021-10-11 22:37:01","newone GmbH - Ilmenau","3823","81.811","5.088","0","594814","2738737","6983718","32573862","https://www.speedtest.net/result/c/a204e92c-0d30-44d7-9d34-4bb0c2c9b4fe"
"2021-10-11 22:38:02","TMP-SYSTEM-SERVICE GmbH - Bebra","41142","51.595","10.965","0","634484","3159829","6407888","44072346","https://www.speedtest.net/result/c/98415558-de50-4e64-9a8d-f0595f5e5c00"
